System,CPU-Precision,Clock-MHz,MWIPS,MFLOPS,MIPS-VAX,MWIPS-DP,Lang,Opt,Cost-$K,Year-intro
DEC ASTN 200/4/166,A21064A,166,154,NA,NA,136,For,xxx,NA,1995
DEC 3000/700,A21064A,225,250,NA,NA,200,For,xxx,NA,1994
DEC 3000/700,A21064A,225,214,NA,NA,197,For,xxx,NA,1994
DEC ASTN 255/233,A21064A,233,217,NA,NA,239,For,xxx,6.6,1996
DEC 2000/4/233,A21064A,233,256,NA,NA,226,For,xxx,29,1995
DEC 400/4/233,A21064A,233,268,NA,NA,249,For,xxx,NA,1996
DEC 1000/4/266,A21064A,266,303,NA,NA,282,For,xxx,16,1995
DEC 2000/4/275,A21064A,275,259,NA,NA,240,For,xxx,46,1995
DEC 3000/900,A21064A,275,333,NA,NA,250,For,xxx,NA,1994
DEC 3000/900,A21064A,275,249,NA,NA,227,For,xxx,NA,1994
DEC 7000/710,A21064A,275,258,NA,NA,227,For,xxx,NA,1994
DEC ASTN 255/300,A21064A,300,279,NA,NA,NA,For,xxx,12.4,1996
DEC 2000/5/250,A21164,250,434,NA,NA,391,For,xxx,29,1996
DEC ASTN 500/266,A21164,266,351,NA,NA,453,For,xxx,18,1996
DEC ASTN 600/5/266,A21164,266,351,NA,NA,434,For,xxx,20,1995
DEC 2100/5/300,A21164,300,531,NA,NA,497,For,xxx,39,1996
DEC 8200/5/300,A21164,300,528,NA,NA,476,For,xxx,100,1996
DEC ASTN 500/333,A21164,333,436,NA,NA,569,For,xxx,23,1996
DEC ASTN 600/5/333,A21164,333,477,NA,NA,569,For,xxx,36,1996
DEC 4000/5/400,A21164,400,685,NA,NA,685,For,xxx,NA,1996
DEC AlphaPC,A21164,533,540,146,2179,NA,C++,Opt,NA,NA
Data General Nova 3/12,P1,NA,0.0026,NA,NA,NA,Alg,NA,NA,1975
Data General Nova 3/12,P1,NA,0.0029,NA,NA,NA,Bas,NA,NA,1975
Data General Nova 3/12,P1,NA,0.0141,NA,NA,0.0038,For,NA,NA,1975
Data General Nova 840 swfp,P1,NA,0.0163,NA,NA,NA,For,NA,NA,1970
Data General Nova 840 hwfp,P1,NA,0.068,NA,NA,0.058,For,NA,NA,1970
